"id","camping","plaats","provincie","officiele_organisatie","officiele_profiel_url","campingkiezer_profiel","claim_url"
"ck0195","Ardoer camping 't Noorder Sandt","Julianadorp","Noord-Holland","Ardoer","https://www.ardoer.com/nl/noordersandt","https://camping-kiezer.nl/camping/ardoer-camping-t-noorder-sandt/","https://camping-kiezer.nl/claim-uw-camping/?profiel=ardoer-camping-t-noorder-sandt"
"ck0196","Ardoer Camping Westhove","Domburg","Zeeland","Ardoer","https://www.ardoer.com/nl/westhove","https://camping-kiezer.nl/camping/ardoer-camping-westhove/","https://camping-kiezer.nl/claim-uw-camping/?profiel=ardoer-camping-westhove"
"ck0047","Ardoer Vakantiepark 't Rheezerwold","Hardenberg","Overijssel","Ardoer","https://www.ardoer.com/nl/rheezerwold","https://camping-kiezer.nl/camping/ardoer-vakantiepark-t-rheezerwold/","https://camping-kiezer.nl/claim-uw-camping/?profiel=ardoer-vakantiepark-t-rheezerwold"
"ck0028","Camping 't Geuldal","Meerssen","Limburg","Ardoer","https://www.ardoer.com/nl/geuldal","https://camping-kiezer.nl/camping/camping-t-geuldal/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-t-geuldal"
"ck0208","Camping & Beachresort Julianahoeve","Renesse","Zeeland","Ardoer","https://www.ardoer.com/nl/julianahoeve","https://camping-kiezer.nl/camping/camping-beachresort-julianahoeve/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-beachresort-julianahoeve"
"ck0274","Camping De Holterberg","Holten","Overijssel","Ardoer","https://www.ardoer.com/nl/holterberg","https://camping-kiezer.nl/camping/camping-de-holterberg/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-de-holterberg"
"ck1587","Camping de Meerpaal","Zoutelande","Zeeland","Ardoer","https://www.ardoer.com/nl/meerpaal","https://camping-kiezer.nl/camping/camping-de-meerpaal/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-de-meerpaal"
"ck0288","Camping De Meulinge","Nieuwvliet","Zeeland","Ardoer","https://www.ardoer.com/nl/meulinge","https://camping-kiezer.nl/camping/camping-de-meulinge/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-de-meulinge"
"ck0292","Camping de Noetselerberg","Nijverdal","Overijssel","Ardoer","https://www.ardoer.com/nl/noetselerberg","https://camping-kiezer.nl/camping/camping-de-noetselerberg/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-de-noetselerberg"
"ck0327","Camping De Zandhegge","Emst","Gelderland","Ardoer","https://www.ardoer.com/nl/zandhegge","https://camping-kiezer.nl/camping/camping-de-zandhegge/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-de-zandhegge"
"ck0338","Camping Duinoord Aan Zee","Westenschouwen/Burgh-Haamstede","Zeeland","Ardoer","https://www.ardoer.com/nl/duinoord","https://camping-kiezer.nl/camping/camping-duinoord-aan-zee/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-duinoord-aan-zee"
"ck0345","Camping en Speelpark De Heldense Bossen","Helden","Limburg","Ardoer","https://www.ardoer.com/nl/heldensebossen","https://camping-kiezer.nl/camping/camping-en-speelpark-de-heldense-bossen/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-en-speelpark-de-heldense-bossen"
"ck0349","Camping Ginsterveld","Burgh-Haamstede","Zeeland","Ardoer","https://www.ardoer.com/nl/ginsterveld","https://camping-kiezer.nl/camping/camping-ginsterveld/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-ginsterveld"
"ck0007","Camping It Wiid","Eernewoude","Friesland","Ardoer","https://www.ardoer.com/nl/wiid","https://camping-kiezer.nl/camping/camping-it-wiid/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-it-wiid"
"ck0407","Camping Sint Maartenszee","St. Maartenszee","Noord-Holland","Ardoer","https://www.ardoer.com/nl/sintmaartenszee","https://camping-kiezer.nl/camping/camping-sint-maartenszee/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-sint-maartenszee"
"ck0696","Camping Tempelhof","Callantsoog","Noord-Holland","Ardoer","https://www.ardoer.com/nl/tempelhof","https://camping-kiezer.nl/camping/camping-tempelhof/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-tempelhof"
"ck0417","Camping Torentjeshoek","Dwingeloo","Drenthe","Ardoer","https://www.ardoer.com/nl/torentjeshoek","https://camping-kiezer.nl/camping/camping-torentjeshoek/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-torentjeshoek"
"ck0439","Camping Zonneweelde","Nieuwvliet-Bad","Zeeland","Ardoer","https://www.ardoer.com/nl/zonneweelde","https://camping-kiezer.nl/camping/camping-zonneweelde/","https://camping-kiezer.nl/claim-uw-camping/?profiel=camping-zonneweelde"
"ck0460","Cnossen Leekstermeer","Nietap","Drenthe","Ardoer","https://www.ardoer.com/nl/cnossenleekstermeer","https://camping-kiezer.nl/camping/cnossen-leekstermeer/","https://camping-kiezer.nl/claim-uw-camping/?profiel=cnossen-leekstermeer"
"ck2004","De Bosgraaf","Lieren","Gelderland","Ardoer","https://www.ardoer.com/nl/camping/bosgraaf","https://camping-kiezer.nl/camping/de-bosgraaf/","https://camping-kiezer.nl/claim-uw-camping/?profiel=de-bosgraaf"
"ck0465","De Haeghehorst","Ermelo","Gelderland","Ardoer","https://haeghehorst.ardoer.com/nl/aanbod","https://camping-kiezer.nl/camping/de-haeghehorst/","https://camping-kiezer.nl/claim-uw-camping/?profiel=de-haeghehorst"
"ck0471","De Kuilart","Koudum","Friesland","Ardoer","https://www.ardoer.com/nl/kuilart","https://camping-kiezer.nl/camping/de-kuilart/","https://camping-kiezer.nl/claim-uw-camping/?profiel=de-kuilart"
"ck2433","De Zwinhoeve","Retranchement","Zeeland","Ardoer","https://www.ardoer.com/nl/zwinhoeve","https://camping-kiezer.nl/camping/de-zwinhoeve/","https://camping-kiezer.nl/claim-uw-camping/?profiel=de-zwinhoeve"
"ck3341","Paardekreek","Kortgene","Zeeland","Ardoer","https://www.ardoer.com/nl/paardekreek","https://camping-kiezer.nl/camping/paardekreek/","https://camping-kiezer.nl/claim-uw-camping/?profiel=paardekreek"
"ck0617","Recreatiepark Kaps","Tubbergen","Overijssel","Ardoer","https://www.ardoer.com/nl/kaps","https://camping-kiezer.nl/camping/recreatiepark-kaps/","https://camping-kiezer.nl/claim-uw-camping/?profiel=recreatiepark-kaps"
"ck0626","Ruijtenbergbeheer b.v.","Noordwelle","Zeeland","Ardoer","https://zeeuwsekust.ardoer.com/nl/aanbod","https://camping-kiezer.nl/camping/ruijtenbergbeheer-b-v/","https://camping-kiezer.nl/claim-uw-camping/?profiel=ruijtenbergbeheer-b-v"
"ck3443","Scheldeoord","Baarland","Zeeland","Ardoer","https://www.ardoer.com/nl/scheldeoord","https://camping-kiezer.nl/camping/scheldeoord/","https://camping-kiezer.nl/claim-uw-camping/?profiel=scheldeoord"
"ck0637","Strandpark de Zeeuwse Kust","Noordwelle","Zeeland","Ardoer","https://www.ardoer.com/nl/zeeuwsekust","https://camping-kiezer.nl/camping/strandpark-de-zeeuwse-kust/","https://camping-kiezer.nl/claim-uw-camping/?profiel=strandpark-de-zeeuwse-kust"
"ck0643","Vakantiecentrum De Ullingse Bergen","Sint Anthonis","Noord-Brabant","Ardoer","https://www.ardoer.com/nl/ullingsebergen","https://camping-kiezer.nl/camping/vakantiecentrum-de-ullingse-bergen/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiecentrum-de-ullingse-bergen"
"ck0023","Vakantiedorp De Jutberg","Laag-Soeren","Gelderland","Ardoer","https://www.ardoer.com/nl/jutberg","https://camping-kiezer.nl/camping/vakantiedorp-de-jutberg/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiedorp-de-jutberg"
"ck0647","Vakantiepark 't Akkertien","Vollenhove","Overijssel","Ardoer","https://www.ardoer.com/nl/akkertien","https://camping-kiezer.nl/camping/vakantiepark-t-akkertien/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiepark-t-akkertien"
"ck0004","Vakantiepark Diana Heide B.V.","Amen","Drenthe","Ardoer","https://www.ardoer.com/nl/dianaheide","https://camping-kiezer.nl/camping/vakantiepark-diana-heide-b-v/","https://camping-kiezer.nl/claim-uw-camping/?profiel=vakantiepark-diana-heide-b-v"
"ck0042","RCN De Flaasbloem","Chaam","Noord-Brabant","RCN","https://www.rcn.nl/nl/vakantieparken/nederland/brabant/rcn-de-flaasbloem","https://camping-kiezer.nl/camping/rcn-de-flaasbloem/","https://camping-kiezer.nl/claim-uw-camping/?profiel=rcn-de-flaasbloem"
